generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
10112,5788,21454.4730,6075.6837,20712.0714,-5605.6587,-15.1482,-14.7047,1.7500,38.201,98.45,97.28
10133,5800,21497.8179,6087.9585,20756.3214,-5608.0712,-15.1236,-13.9221,1.7500,38.299,98.01,96.84
10154,5812,21544.3341,6101.1314,20799.0714,-5628.1754,-15.1455,-14.4793,1.7500,38.398,98.62,97.46
10175,5824,21587.6794,6113.4063,20843.3214,-5630.5879,-15.1210,-14.4793,1.7500,38.496,98.10,96.90
10195,5836,21632.7650,6126.1741,20885.9286,-5645.7433,-15.1303,-14.1590,1.6667,38.595,98.53,97.35
10217,5848,21677.5408,6138.8542,20930.3214,-5653.1045,-15.1185,-14.4793,1.8333,38.695,99.83,98.61
10238,5860,21723.5306,6151.8780,20972.9286,-5671.7241,-15.1366,-14.4793,1.7500,38.792,97.88,96.70
10259,5872,21767.4024,6164.3020,21017.3214,-5675.6212,-15.1160,-14.4793,1.7500,38.891,98.05,96.88
10280,5884,21813.3919,6177.3258,21059.9286,-5694.2407,-15.1340,-14.4793,1.7500,38.986,95.39,94.23
10301,5896,21857.2639,6189.7499,21104.3214,-5698.1379,-15.1135,-14.4793,1.7500,39.082,96.06,94.90
10322,5908,21903.2531,6202.7735,21146.9286,-5716.7574,-15.1314,-14.3909,1.7500,39.175,93.07,91.88
10343,5920,21947.1255,6215.1978,21191.3214,-5720.6545,-15.1110,-13.9221,1.7500,39.262,87.02,85.89
10364,5932,21993.1144,6228.2213,21233.9286,-5739.2741,-15.1289,-15.0032,1.7500,39.346,84.19,83.07
10384,5944,22036.8965,6240.6199,21276.0714,-5751.1510,-15.1301,-14.4847,1.6667,39.428,81.80,80.72
10405,5956,22080.2442,6252.8956,21320.3214,-5753.5635,-15.1062,-13.9300,1.7500,39.507,78.72,77.61
10426,5968,22126.7578,6266.0677,21363.0714,-5773.6676,-15.1276,-14.4847,1.7500,39.588,81.04,79.92
10446,5980,22170.0145,6278.3176,21405.0714,-5784.0600,-15.1252,-14.4225,1.6667,39.667,79.65,78.54
