generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,37,144.1657,33.7240,87.6786,117.4702,54.0645,NaN,1.6216,0.108,107.97,67.71
79,49,186.1245,43.5392,123.0714,143.0179,49.8546,35.8230,1.5833,0.178,70.42,69.42
102,61,233.4127,54.6011,150.6786,181.5560,50.7735,45.4895,1.9167,0.247,68.92,67.77
121,73,275.8153,64.5201,186.0714,207.1038,48.4336,42.3328,1.5833,0.316,68.56,67.57
144,85,322.5907,75.4621,212.3214,246.2605,49.5597,45.9376,1.9167,0.385,68.83,67.66
163,97,365.5924,85.5212,249.0714,271.1897,47.7102,43.6051,1.5833,0.454,69.57,68.58
186,109,412.2799,96.4426,275.3214,310.3464,48.6733,45.7880,1.9167,0.523,68.66,67.51
205,121,456.3998,106.7634,311.9286,336.7602,47.4117,44.3593,1.5833,0.592,69.31,68.32
228,133,502.0326,117.4381,338.3214,374.4323,48.1036,45.7132,1.9167,0.660,67.90,66.76
245,145,541.3496,126.6353,374.9286,394.1653,46.6142,43.9278,1.4167,0.726,66.22,65.31
264,157,583.1689,136.4179,396.8929,430.8476,47.5215,45.3831,1.5833,0.793,66.42,65.44
284,169,626.6087,146.5795,428.1071,461.1585,47.2882,45.2730,1.6667,0.859,66.41,65.41
306,181,672.9865,157.4285,459.8929,494.9335,47.2503,45.4012,1.8333,0.927,67.69,66.59
326,193,716.4365,167.5925,491.1071,525.2444,47.0626,45.3069,1.6667,0.996,69.34,68.34
348,205,761.9454,178.2382,522.6786,558.0297,47.0039,45.3638,1.8333,1.068,71.32,70.24
368,217,806.2730,188.6075,554.1071,589.3303,46.8873,45.3317,1.6667,1.142,74.17,73.15
390,229,851.7839,199.2537,585.6786,622.1155,46.8442,45.3797,1.8333,1.219,76.94,75.83
410,241,896.1155,209.6240,617.1071,653.4162,46.7471,45.3505,1.6667,1.298,78.96,77.90
432,253,940.2471,219.9474,647.3214,685.5828,46.7493,45.4303,1.8333,1.378,79.92,78.76
452,265,985.7593,230.5939,678.8929,718.3681,46.7184,45.4654,1.6667,1.456,78.84,77.78
474,277,1030.0938,240.9649,710.3214,749.6687,46.6394,45.9310,1.8333,1.533,76.68,75.55
494,289,1075.6069,251.6115,741.8929,782.4540,46.6157,45.4654,1.6667,1.607,74.21,73.16
516,301,1119.9438,261.9830,773.3214,813.7546,46.5471,45.9310,1.8333,1.683,75.77,74.67
536,313,1165.4574,272.6298,804.8929,846.5398,46.5289,45.3702,1.6667,1.756,72.57,71.55
558,325,1209.7962,283.0017,836.3214,877.8405,46.4686,45.9310,1.8333,1.831,75.01,73.93
578,337,1255.3103,293.6486,867.8929,910.6257,46.4545,45.3702,1.6667,1.907,76.75,75.66
600,349,1299.6505,304.0209,899.3214,941.9263,46.4009,45.8538,1.8333,1.982,74.70,73.55
620,361,1345.1650,314.6679,930.8929,974.7116,46.3900,45.3702,1.6667,2.057,74.99,73.92
640,373,1388.6426,324.8384,962.1071,1005.0225,46.3201,46.1323,1.6667,2.132,74.54,73.48
662,385,1435.0211,335.6875,993.8929,1038.7975,46.3336,45.5207,1.8333,2.207,75.43,74.27
682,397,1478.5003,345.8584,1025.1071,1069.1084,46.2697,45.5207,1.6667,2.284,76.90,75.84
