generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
17572,10063,37614.9730,8792.9113,-26342.3214,-26847.0968,-134.4588,-134.4793,1.7500,70.478,84.28,83.11
17593,10075,37660.4021,8803.5308,-26369.1071,-26884.4596,-134.4481,-134.4793,1.7500,70.562,83.94,82.79
17614,10087,37705.8505,8814.1549,-26406.0714,-26911.8631,-134.4590,-134.4833,1.7500,70.647,85.16,84.00
17635,10099,37750.2686,8824.5381,-26432.1071,-26948.5455,-134.4482,-134.4793,1.7500,70.731,83.36,82.20
17655,10111,37793.5332,8834.6517,-26462.1071,-26979.7224,-134.4476,-134.4793,1.6667,70.815,84.15,83.06
17676,10123,37838.4796,8845.1584,-26499.6786,-27005.8269,-134.4605,-134.4793,1.7500,70.900,85.03,83.88
17697,10135,37883.3997,8855.6590,-26525.1071,-27043.8083,-134.4478,-134.4793,1.7500,70.984,84.36,83.21
17718,10147,37927.8371,8866.0467,-26561.3214,-27070.5314,-134.4585,-134.3850,1.7500,71.069,84.57,83.42
17739,10159,37973.2663,8876.6662,-26588.1071,-27107.8942,-134.4479,-134.4793,1.7500,71.154,85.12,83.94
17760,10171,38017.7036,8887.0540,-26624.3214,-27134.6172,-134.4587,-134.4793,1.7500,71.239,85.02,83.82
17781,10183,38063.1328,8897.6735,-26651.1071,-27171.9801,-134.4481,-134.4793,1.7500,71.323,84.44,83.26
17802,10195,38107.5702,8908.0612,-26687.3214,-27198.7031,-134.4588,-134.4793,1.7500,71.408,84.29,83.15
17823,10207,38152.9993,8918.6808,-26714.1071,-27236.0659,-134.4482,-134.4793,1.7500,71.493,84.96,83.79
17844,10219,38197.4367,8929.0685,-26750.3214,-27262.7890,-134.4589,-134.4793,1.7500,71.579,86.04,84.85
17865,10231,38242.8658,8939.6881,-26777.1071,-27300.1518,-134.4483,-134.4793,1.7500,71.662,83.61,82.45
17886,10243,38287.3032,8950.0758,-26813.3214,-27326.8749,-134.4590,-134.4793,1.7500,71.747,84.44,83.29
17907,10255,38332.7323,8960.6954,-26840.1071,-27364.2377,-134.4485,-134.4793,1.7500,71.830,83.58,82.44
17928,10267,38377.1697,8971.0831,-26876.3214,-27390.9608,-134.4592,-134.4793,1.7500,71.914,83.86,82.74
17949,10279,38422.5988,8981.7026,-26903.1071,-27428.3236,-134.4486,-134.4793,1.7500,71.998,83.48,82.35
17970,10291,38468.0472,8992.3267,-26940.0714,-27455.7271,-134.4594,-134.4833,1.7500,72.082,84.62,83.47
17991,10303,38512.4653,9002.7099,-26966.1071,-27492.4095,-134.4488,-134.4793,1.7500,72.166,83.45,82.23
18011,10315,38555.7300,9012.8235,-26996.1071,-27523.5864,-134.4482,-133.9661,1.6667,72.250,83.94,82.82
18032,10327,38600.6764,9023.3302,-27033.6786,-27549.6909,-134.4608,-135.0203,1.7500,72.335,85.31,84.14
18053,10339,38645.5965,9033.8308,-27059.1071,-27587.6723,-134.4483,-134.4793,1.7500,72.420,85.22,84.03
18074,10351,38690.5429,9044.3375,-27096.6786,-27613.7767,-134.4610,-134.4793,1.7500,72.505,85.14,83.96
18095,10363,38735.4630,9054.8381,-27122.1071,-27651.7581,-134.4485,-134.4793,1.7500,72.589,84.31,83.16
18116,10375,38779.9004,9065.2258,-27158.3214,-27678.4812,-134.4590,-134.4793,1.7500,72.674,84.46,83.32
18137,10387,38825.3295,9075.8453,-27185.1071,-27715.8440,-134.4486,-134.4793,1.7500,72.758,84.40,83.25
18158,10399,38869.7669,9086.2331,-27221.3214,-27742.5671,-134.4591,-134.4793,1.7500,72.843,84.18,83.00
18179,10411,38915.1960,9096.8526,-27248.1071,-27779.9299,-134.4487,-134.4793,1.7500,72.927,84.46,83.30
18200,10423,38959.6335,9107.2404,-27284.3214,-27806.6530,-134.4592,-134.4793,1.7500,73.012,84.66,83.44
18221,10435,39005.0625,9117.8599,-27311.1071,-27844.0158,-134.4489,-134.4793,1.7500,73.096,84.03,82.86
18242,10447,39049.5000,9128.2477,-27347.3214,-27870.7388,-134.4594,-134.4793,1.7500,73.180,84.49,83.33
18263,10459,39094.9291,9138.8672,-27374.1071,-27908.1016,-134.4490,-134.4793,1.7500,73.264,83.63,82.48
18284,10471,39139.3665,9149.2549,-27410.3214,-27934.8247,-134.4595,-134.4793,1.7500,73.348,84.09,82.90
18305,10483,39184.7956,9159.8745,-27437.1071,-27972.1875,-134.4492,-134.4793,1.7500,73.432,83.90,82.73
18326,10495,39229.2331,9170.2622,-27473.3214,-27998.9106,-134.4596,-134.4793,1.7500,73.516,84.54,83.41
18347,10507,39274.6621,9180.8817,-27500.1071,-28036.2734,-134.4493,-134.4793,1.7500,73.600,83.47,82.32
18368,10519,39320.1106,9191.5058,-27537.0714,-28063.6769,-134.4598,-134.4793,1.7500,73.685,84.78,83.64
18389,10531,39364.5286,9201.8890,-27563.1071,-28100.3593,-134.4494,-134.4793,1.7500,73.768,83.23,82.08
18409,10543,39407.7932,9212.0026,-27593.1071,-28131.5362,-134.4488,-134.4793,1.6667,73.852,84.29,83.13
18430,10555,39452.7397,9222.5093,-27630.6786,-28157.6407,-134.4612,-134.4793,1.7500,73.937,84.90,83.76
18451,10567,39497.6597,9233.0099,-27656.1071,-28195.6221,-134.4490,-134.4793,1.7500,74.021,84.15,83.00
18472,10579,39542.0972,9243.3976,-27692.3214,-28222.3452,-134.4593,-134.3850,1.7500,74.106,84.72,83.55
18493,10591,39587.5262,9254.0172,-27719.1071,-28259.7080,-134.4491,-134.4793,1.7500,74.191,84.69,83.51
18514,10603,39631.9637,9264.4049,-27755.3214,-28286.4310,-134.4594,-134.4793,1.7500,74.275,84.35,83.13
18535,10615,39677.3928,9275.0244,-27782.1071,-28323.7938,-134.4493,-134.4793,1.7500,74.361,86.13,84.95
18556,10627,39721.8303,9285.4122,-27818.3214,-28350.5169,-134.4596,-134.4793,1.7500,74.446,85.18,84.02
