generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,23,70.3378,22.1435,-68.4088,20.1246,161.8000,NaN,2.6087,0.107,106.69,74.48
83,35,105.9609,33.3582,-103.9629,25.4954,165.0475,171.4098,1.9167,0.184,76.88,75.80
105,47,139.7239,43.9874,-138.0694,28.0908,167.6288,173.4761,1.8333,0.263,79.38,78.34
126,59,174.6979,54.9978,-170.9241,41.1125,165.7654,168.4297,1.7500,0.345,81.60,80.58
148,71,208.9897,65.7934,-204.8883,46.5956,166.5980,169.0234,1.8333,0.426,81.29,80.25
170,83,245.1944,77.1913,-239.7148,56.6091,166.2081,167.9769,1.8333,0.508,81.85,80.83
193,95,277.6311,87.4029,-272.8691,57.2033,167.7203,169.7212,1.9167,0.592,84.04,82.97
214,107,313.4591,98.6821,-306.5490,70.6580,166.6265,168.0195,1.7500,0.678,86.58,85.57
236,119,347.7794,109.4867,-340.4086,76.5926,166.9656,168.2718,1.8333,0.763,84.96,83.92
257,131,382.2496,120.3385,-375.2650,78.6644,167.8414,169.1993,1.7500,0.849,85.57,84.59
278,143,414.9746,130.6409,-405.9220,91.5337,166.9959,168.0539,1.7500,0.936,87.36,86.38
300,155,449.3051,141.4487,-439.7817,97.4682,167.2301,168.2355,1.8333,1.022,86.15,85.08
321,167,481.5938,151.6137,-472.4289,99.3640,167.8687,168.9036,1.7500,1.112,89.63,88.59
342,179,516.5006,162.6029,-505.2951,112.4093,167.2201,168.0726,1.7500,1.201,89.02,88.00
364,191,550.8368,173.4126,-539.1548,118.3439,167.3971,168.2145,1.8333,1.288,86.80,85.73
384,203,583.0646,183.5584,-570.0471,127.8504,167.1478,167.8799,1.6667,1.375,87.11,86.13
405,215,615.9910,193.9242,-603.1943,130.5076,167.5927,168.3376,1.7500,1.464,89.27,88.26
428,227,652.3718,205.3775,-638.5278,139.2195,167.5122,168.2009,1.9167,1.552,87.57,86.44
448,239,683.8517,215.2878,-669.3270,145.7370,167.5370,168.1932,1.6667,1.639,87.62,86.63
470,251,718.9315,226.3316,-703.2798,154.6606,167.4265,168.0354,1.8333,1.729,90.11,89.01
493,263,754.3572,237.4842,-738.7216,158.4416,167.7323,168.1708,1.9167,1.816,86.62,85.57
514,275,789.6369,248.5908,-772.7344,168.0456,167.5757,167.5643,1.7500,1.905,88.40,87.39
537,288,825.0385,259.7358,-808.2477,171.3368,167.8831,168.4517,1.7692,1.990,85.77,84.68
558,300,857.7359,270.0295,-838.9047,184.2061,167.4725,167.7541,1.7500,2.079,88.27,87.28
580,312,893.6216,281.3269,-874.4735,189.5552,167.6323,168.1708,1.8333,2.166,87.88,86.82
601,324,926.5797,291.7027,-907.6207,192.2125,167.9108,167.9924,1.7500,2.252,86.05,85.03
622,336,959.2719,301.9947,-938.2777,205.0818,167.5427,167.9874,1.7500,2.341,88.31,87.31
645,348,994.4606,313.0727,-974.1048,205.9215,167.9407,168.4651,1.9167,2.428,86.94,85.85
666,360,1029.9642,324.2498,-1007.7209,218.4432,167.6502,167.5374,1.7500,2.516,88.15,87.17
689,372,1065.8469,335.5463,-1043.2750,223.8140,167.7770,168.2749,1.9167,2.605,89.35,88.30
710,384,1099.1462,346.0294,-1075.5857,231.9405,167.7196,168.0580,1.7500,2.694,88.45,87.44
731,396,1132.0934,356.4018,-1108.8898,233.7878,167.9867,168.0741,1.7500,2.782,88.15,87.17
