generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,28,82.0543,25.8457,-33.6067,-77.3945,-112.9663,NaN,2.1429,0.114,113.66,80.38
81,41,112.9710,35.5839,-63.2748,-96.4879,-123.0947,-147.2360,1.6154,0.194,80.61,79.56
104,53,148.7941,46.8676,-82.8849,-126.4670,-123.1176,-135.1199,1.9167,0.277,82.52,81.45
125,65,183.7732,57.8854,-107.7087,-151.8823,-125.2710,-134.8512,1.7500,0.365,87.83,86.80
148,78,219.4387,69.1194,-128.3156,-180.9921,-125.2749,-132.4336,1.7692,0.453,88.52,87.42
169,90,252.2202,79.4450,-155.5392,-201.6308,-127.6167,-134.4638,1.7500,0.544,91.02,89.98
191,102,287.3119,90.4982,-177.2061,-229.2362,-127.6791,-133.4020,1.8333,0.635,91.18,90.03
214,114,323.2653,101.8229,-199.6344,-257.3415,-127.7805,-132.6961,1.9167,0.725,89.75,88.52
237,126,359.1209,113.1168,-226.7049,-281.6497,-128.8181,-133.3917,1.9167,0.812,87.29,86.19
258,138,393.5556,123.9632,-247.8125,-308.8629,-128.7289,-132.7818,1.7500,0.898,85.61,84.55
279,150,427.0627,134.5173,-272.7887,-331.7439,-129.4224,-133.2397,1.7500,0.983,85.30,84.29
302,162,462.7142,145.7469,-292.4225,-361.7344,-128.9422,-132.3095,1.9167,1.070,86.53,85.50
324,174,497.4006,156.6725,-317.6748,-385.8985,-129.4551,-132.6386,1.8333,1.157,87.53,86.51
345,186,531.2650,167.3392,-340.7894,-410.7284,-129.6782,-132.6620,1.7500,1.246,88.86,87.85
368,198,567.4205,178.7276,-364.0315,-438.4244,-129.6989,-132.4656,1.9167,1.334,88.11,87.04
391,210,603.2263,190.0058,-390.2882,-463.1420,-130.1181,-132.7580,1.9167,1.425,90.38,89.30
413,222,637.6258,200.8410,-412.0189,-489.8143,-130.0670,-132.5377,1.8333,1.514,89.25,88.15
436,234,673.1912,212.0435,-432.0028,-519.4650,-129.7443,-132.0253,1.9167,1.605,90.93,89.87
457,246,707.8287,222.9537,-459.7334,-541.4052,-130.3347,-132.5630,1.7500,1.695,90.11,89.08
478,258,741.5757,233.5834,-480.8933,-567.7090,-130.2655,-132.3725,1.7500,1.783,88.40,87.36
499,270,775.1899,244.1713,-505.8695,-590.5900,-130.5811,-131.8526,1.7500,1.873,89.30,88.25
522,282,810.7525,255.3729,-525.5032,-620.5805,-130.2562,-131.8534,1.9167,1.961,88.82,87.74
544,294,845.5198,266.3240,-550.7555,-644.7446,-130.5040,-131.9532,1.8333,2.052,90.18,89.17
566,306,878.6097,276.7467,-569.2655,-672.4406,-130.2487,-131.8999,1.8333,2.142,90.70,89.61
585,318,909.9664,286.6236,-597.2016,-689.8019,-130.8850,-132.1365,1.5833,2.233,90.72,89.74
608,330,945.4792,297.8095,-616.8117,-719.7810,-130.5943,-131.8654,1.9167,2.325,91.87,90.76
629,342,980.9335,308.9770,-641.6355,-745.1963,-130.7293,-132.1769,1.7500,2.419,93.84,92.77
652,355,1016.4443,320.1622,-662.2424,-774.3061,-130.5389,-131.4786,1.7692,2.510,91.39,90.28
673,367,1049.8485,330.6840,-689.4660,-794.9448,-130.9359,-132.2583,1.7500,2.605,94.81,93.75
695,379,1084.9006,341.7248,-711.1329,-822.5501,-130.8451,-131.7684,1.8333,2.699,94.02,92.94
718,391,1120.8312,353.0423,-733.5613,-850.6555,-130.7728,-132.0590,1.9167,2.794,94.66,93.51
741,403,1156.9278,364.4121,-760.6318,-874.9637,-131.0019,-132.1678,1.9167,2.888,94.57,93.40
764,415,1193.7571,376.0127,-783.8363,-903.5907,-130.9410,-131.9532,1.9167,2.982,93.40,92.28
786,427,1227.0618,386.5031,-803.1747,-930.8989,-130.7875,-131.7236,1.8333,3.074,92.30,91.16
805,439,1258.2402,396.3237,-830.2823,-948.6480,-131.1941,-132.1847,1.5833,3.166,92.38,91.38
826,451,1292.8443,407.2234,-849.5047,-977.7986,-130.9843,-131.8767,1.7500,3.259,92.75,91.65
847,463,1324.9575,417.3385,-871.4580,-1001.2651,-131.0354,-132.3683,1.7500,3.352,93.33,92.22
869,475,1359.9925,428.3739,-896.1625,-1026.2072,-131.1306,-131.9942,1.8333,3.447,95.00,93.90
892,487,1395.5011,439.5585,-917.1578,-1055.0103,-131.0020,-131.8370,1.9167,3.541,93.36,92.19
913,499,1429.1607,450.1607,-942.1340,-1077.8913,-131.1558,-131.8370,1.7500,3.634,92.96,91.83
933,511,1461.3124,460.2880,-965.8130,-1099.8916,-131.2872,-132.5715,1.6667,3.729,94.84,93.78
954,523,1494.3437,470.6922,-984.6879,-1127.2693,-131.1383,-131.9649,1.7500,3.827,98.35,97.25
976,535,1528.3144,481.3924,-1003.9888,-1155.5086,-130.9868,-131.9847,1.8333,3.927,100.05,98.88
997,548,1562.8497,492.2704,-1033.5784,-1175.5133,-131.3247,-131.9374,1.6154,4.025,98.50,97.36
1018,560,1595.8782,502.6738,-1052.4533,-1202.8911,-131.1845,-132.0424,1.7500,4.127,101.43,100.31
1040,572,1629.8453,513.3729,-1071.7541,-1231.1304,-131.0414,-131.5133,1.8333,4.229,101.76,100.53
1059,584,1659.7511,522.7927,-1099.3426,-1246.7189,-131.4064,-132.7766,1.5833,4.330,100.89,99.82
1080,596,1693.4740,533.4148,-1113.9490,-1278.7591,-131.0601,-131.2627,1.7500,4.432,102.07,100.95
1101,608,1728.2445,544.3669,-1141.6796,-1300.6994,-131.2755,-132.0013,1.7500,4.534,102.06,100.91
1124,621,1763.7198,555.5410,-1162.2865,-1329.8092,-131.1548,-131.8208,1.7692,4.633,99.16,97.97
1145,633,1797.1884,566.0830,-1189.5102,-1350.4479,-131.3753,-132.0499,1.7500,4.735,102.10,101.03
1168,645,1833.1043,577.3959,-1211.9385,-1378.5532,-131.3207,-132.0296,1.9167,4.837,101.69,100.52
1190,657,1867.0612,588.0917,-1231.2394,-1406.7926,-131.1933,-131.9713,1.8333,4.937,100.18,99.04
1211,669,1900.9408,598.7632,-1258.1939,-1428.2111,-131.3795,-131.7424,1.7500,5.037,99.80,98.65
1233,681,1936.2082,609.8718,-1280.6745,-1455.4071,-131.3467,-132.0747,1.8333,5.135,98.46,97.30
1255,693,1972.3263,621.2484,-1306.7597,-1480.5609,-131.4328,-132.2461,1.8333,5.234,99.04,97.87
1278,705,2007.8102,632.4252,-1326.3934,-1510.5515,-131.2865,-131.6139,1.9167,5.333,99.32,98.15
1300,717,2042.6319,643.3935,-1351.6458,-1534.7156,-131.3716,-132.1684,1.8333,5.434,101.00,99.83
1321,729,2076.5428,654.0748,-1374.7604,-1559.5455,-131.3974,-131.9305,1.7500,5.535,100.25,99.07
1343,741,2109.5974,664.4864,-1400.1887,-1581.1867,-131.5267,-132.0667,1.8333,5.632,97.69,96.55
1366,753,2145.2814,675.7263,-1417.9373,-1613.1147,-131.3163,-131.7248,1.9167,5.728,95.84,94.71
1387,765,2179.4210,686.4796,-1445.7316,-1634.1220,-131.5005,-132.7059,1.7500,5.824,95.62,94.51
1410,777,2213.1253,697.0959,-1461.6996,-1664.9748,-131.2808,-131.1755,1.9167,5.916,92.26,91.10
1429,789,2247.0324,707.7761,-1490.3563,-1684.9157,-131.4945,-132.2541,1.5833,6.010,94.00,93.03
1451,801,2282.0657,718.8109,-1512.0232,-1712.5211,-131.4427,-132.4453,1.8333,6.105,95.04,93.92
1474,813,2317.9793,730.1231,-1534.4515,-1740.6265,-131.3985,-131.3785,1.9167,6.203,97.40,96.22
1497,825,2354.1189,741.5064,-1561.5220,-1764.9346,-131.5015,-132.6327,1.9167,6.303,99.98,98.77
1520,837,2390.9355,753.1030,-1584.7265,-1793.5617,-131.4634,-131.9532,1.9167,6.402,99.82,98.61
1542,849,2423.9506,763.5022,-1603.2365,-1821.2576,-131.3578,-131.8999,1.8333,6.501,98.53,97.38
1561,861,2455.4594,773.4269,-1631.1725,-1838.6190,-131.5794,-132.1365,1.5833,6.597,96.61,95.59
1584,873,2490.9047,784.5916,-1650.7827,-1868.5980,-131.4591,-131.8450,1.9167,6.694,96.50,95.28
1605,885,2526.3878,795.7681,-1675.6065,-1894.0134,-131.4994,-132.3662,1.7500,6.793,98.72,97.66
1628,898,2561.8472,806.9372,-1696.2134,-1923.1232,-131.4132,-131.5103,1.7692,6.890,97.47,96.32
1649,910,2595.3422,817.4876,-1723.4370,-1943.7618,-131.5626,-132.1967,1.7500,6.990,99.60,98.51
1671,922,2630.3729,828.5216,-1745.1039,-1971.3672,-131.5168,-131.7684,1.8333,7.090,100.68,99.50
1694,934,2666.2841,839.8330,-1767.5322,-1999.4725,-131.4773,-132.0590,1.9167,7.192,101.59,100.35
1717,946,2703.0747,851.4214,-1794.5504,-2024.6902,-131.5524,-132.1115,1.9167,7.292,100.32,99.07
1738,958,2736.7950,862.0428,-1815.7103,-2050.9939,-131.5186,-131.8999,1.7500,7.388,95.78,94.69
1759,970,2770.4850,872.6545,-1840.6865,-2073.8749,-131.5917,-131.7989,1.7500,7.482,93.55,92.51
1782,982,2805.9528,883.8263,-1860.3202,-2103.8654,-131.4850,-132.0328,1.9167,7.575,93.04,91.93
1804,994,2840.7841,894.7975,-1885.5726,-2128.0296,-131.5437,-131.6861,1.8333,7.668,93.68,92.62
1825,1006,2874.6976,905.4797,-1908.6872,-2152.8595,-131.5603,-132.4951,1.7500,7.763,94.36,93.29
1847,1018,2907.7639,915.8950,-1934.1155,-2174.5007,-131.6523,-132.1891,1.8333,7.857,94.15,93.07
1870,1030,2943.4269,927.1282,-1951.8641,-2206.4287,-131.4974,-131.6861,1.9167,7.951,94.51,93.37
1891,1042,2977.5852,937.8875,-1979.6585,-2227.4360,-131.6302,-132.4442,1.7500,8.046,94.86,93.76
1914,1054,3011.2661,948.4964,-1995.6265,-2258.2887,-131.4673,-131.3447,1.9167,8.138,92.20,91.05
