generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,37,109.6870,34.5566,53.1601,-96.8900,-60.0564,NaN,1.6216,0.118,117.88,84.16
80,49,142.2361,44.8111,62.2777,-128.9350,-63.3188,-74.1177,1.6667,0.205,86.87,85.91
103,61,177.1540,55.8118,77.9117,-160.1574,-63.3351,-68.6335,1.9167,0.292,87.53,86.44
124,73,210.3034,66.2555,82.2073,-194.7317,-66.5181,-73.4649,1.7500,0.381,88.61,87.57
147,85,246.7234,77.7295,100.2073,-226.5881,-65.6320,-70.0621,1.9167,0.471,89.94,88.85
168,97,280.8662,88.4861,105.3576,-261.5520,-67.6182,-72.4115,1.7500,0.564,92.72,91.63
191,109,316.1208,99.5929,117.6435,-294.6169,-67.8411,-71.9376,1.9167,0.655,91.75,90.60
212,121,351.1596,110.6318,126.3325,-328.8748,-68.6364,-72.4938,1.7500,0.747,91.30,90.26
234,133,384.3028,121.0734,134.5208,-361.2362,-69.2571,-72.8926,1.8333,0.839,92.17,91.06
255,145,417.4735,131.5238,149.2512,-391.1143,-68.8188,-71.9134,1.7500,0.933,93.77,92.73
276,157,451.1205,142.1242,159.9586,-423.0471,-69.0161,-71.8692,1.7500,1.024,91.92,90.85
298,169,486.9607,153.4155,169.2707,-457.8459,-69.4594,-72.1683,1.8333,1.116,91.53,90.42
321,181,519.9237,163.8004,184.7625,-487.2240,-68.9967,-71.3683,1.9167,1.208,92.14,91.00
340,193,552.7632,174.1464,190.8049,-520.0445,-69.6313,-71.9812,1.5833,1.300,92.30,91.31
362,205,588.1960,185.3094,201.6284,-553.8197,-69.7880,-71.9997,1.8333,1.393,92.65,91.63
385,217,621.3594,195.7574,216.3702,-583.7214,-69.4650,-71.4663,1.9167,1.485,92.21,91.13
404,229,654.2402,206.1164,222.4126,-616.5419,-69.9777,-71.9594,1.5833,1.578,92.80,91.79
426,242,689.6415,217.2695,230.3254,-651.3216,-70.3494,-72.2790,1.6923,1.670,91.88,90.81
449,254,725.2231,228.4794,246.4811,-683.3201,-69.9975,-71.7548,1.9167,1.762,91.63,90.52
471,266,759.9752,239.4279,254.7817,-717.2714,-70.2850,-71.9960,1.8333,1.854,92.62,91.50
493,278,793.0801,249.8575,269.5121,-747.1495,-70.0113,-71.4681,1.8333,1.947,92.68,91.58
514,290,827.7444,260.7784,274.6476,-782.1351,-70.5051,-72.4475,1.7500,2.041,94.39,93.37
537,302,864.5676,272.3795,287.8518,-816.5226,-70.4407,-71.6994,1.9167,2.136,94.51,93.36
558,314,897.8184,282.8550,296.9694,-848.5676,-70.5771,-72.4453,1.7500,2.230,94.09,93.04
579,326,930.8967,293.2762,311.2418,-878.6026,-70.3633,-71.5483,1.7500,2.321,91.52,90.46
600,338,964.2815,303.7940,315.5036,-912.4983,-70.8017,-72.2437,1.7500,2.415,94.05,92.97
622,350,999.3375,314.8383,328.5771,-945.0650,-70.7078,-71.8292,1.8333,2.509,94.01,92.87
645,362,1031.7771,325.0583,343.2589,-974.2863,-70.4744,-71.1967,1.9167,2.602,92.14,90.96
664,374,1064.9211,335.5002,347.0329,-1008.0844,-70.8908,-72.2257,1.5833,2.696,94.39,93.37
686,386,1100.8609,346.8230,360.1848,-1041.5624,-70.8144,-72.0622,1.8333,2.790,93.89,92.80
707,398,1133.9238,357.2393,374.4572,-1071.5974,-70.6321,-71.5144,1.7500,2.882,91.97,90.90
728,410,1166.4498,367.4865,378.6406,-1104.5818,-70.9755,-72.5654,1.7500,2.977,95.45,94.40
751,422,1201.7963,378.6224,395.8268,-1136.0288,-70.6896,-71.5907,1.9167,3.071,93.71,92.56
772,434,1236.5302,389.5652,400.9623,-1171.0144,-71.0011,-72.1012,1.7500,3.166,94.68,93.58
795,446,1273.0940,401.0845,414.9166,-1204.8783,-70.9035,-72.2741,1.9167,3.260,94.26,93.10
817,458,1307.2367,411.8410,424.0864,-1237.8328,-70.9962,-72.0163,1.8333,3.355,95.13,94.02
840,470,1345.1496,423.7854,435.5700,-1273.9759,-71.0350,-71.7563,1.9167,3.450,94.83,93.68
862,482,1378.1770,434.1906,441.5977,-1306.8181,-71.2418,-72.6231,1.8333,3.543,92.66,91.53
883,494,1411.2117,444.5981,456.3281,-1336.6962,-71.0656,-71.9763,1.7500,3.635,92.86,91.78
904,506,1446.6818,455.7728,467.1777,-1370.4733,-71.0932,-72.4054,1.7500,3.727,91.95,90.89
927,519,1482.1692,466.9530,482.0841,-1402.8743,-70.9539,-71.5216,1.7692,3.819,91.23,90.09
948,531,1514.7284,477.2107,486.2675,-1435.8587,-71.2115,-72.2362,1.7500,3.913,94.57,93.51
971,543,1550.0471,488.3377,503.4537,-1467.3057,-70.9845,-71.5452,1.9167,4.006,93.13,92.01
992,555,1584.8103,499.2898,508.5893,-1502.2912,-71.2210,-72.4416,1.7500,4.101,94.21,93.15
1015,567,1621.3653,510.8063,522.5435,-1536.1551,-71.1394,-71.6350,1.9167,4.195,94.66,93.54
1037,579,1655.5159,521.5654,531.7134,-1569.1096,-71.2078,-71.9691,1.8333,4.289,94.12,93.01
1058,591,1689.1957,532.1761,542.4208,-1601.0424,-71.2129,-72.3715,1.7500,4.382,92.50,91.40
1080,603,1724.2370,543.2157,551.6691,-1634.9082,-71.2843,-71.9199,1.8333,4.476,93.94,92.88
1103,615,1759.7365,554.3998,566.1157,-1667.4922,-71.1793,-71.7888,1.9167,4.568,91.99,90.85
1124,627,1794.9681,565.4994,574.8047,-1701.7502,-71.2695,-72.3627,1.7500,4.661,93.49,92.43
1146,639,1828.0130,575.9101,580.8324,-1734.5924,-71.4211,-72.2068,1.8333,4.756,95.13,93.99
1167,651,1861.0326,586.3128,595.5627,-1764.4705,-71.2844,-72.3683,1.7500,4.853,96.63,95.53
1189,663,1895.6266,597.2115,611.1967,-1795.6929,-71.1396,-71.3994,1.8333,4.952,99.25,98.12
1208,675,1927.1046,607.1286,612.2641,-1828.5669,-71.4255,-72.4416,1.5833,5.049,96.74,95.70
1229,687,1960.1254,617.5317,626.5365,-1858.6019,-71.3097,-71.9374,1.7500,5.149,99.92,98.84
1250,699,1993.4029,628.0157,635.6540,-1890.6469,-71.3566,-72.0239,1.7500,5.249,100.03,98.92
1273,711,2030.2076,639.6109,648.8583,-1925.0344,-71.3138,-71.4660,1.9167,5.349,100.16,98.97
