generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,31,97.1487,30.6051,-29.3838,91.2437,106.6244,NaN,1.9355,0.091,91.06,82.66
83,43,132.3667,41.6999,-41.6697,124.3085,107.6255,110.3835,1.9167,0.176,84.67,83.54
104,55,167.6605,52.8187,-50.3588,158.5665,106.9106,107.3048,1.7500,0.259,83.09,82.02
127,68,203.2869,64.0422,-67.4257,190.4866,108.8963,110.9729,1.7692,0.342,83.51,82.38
148,80,235.9443,74.3304,-71.6091,223.4710,107.2632,107.7103,1.7500,0.430,87.24,86.20
170,92,271.8299,85.6355,-84.7610,256.9491,107.8164,108.4791,1.8333,0.517,87.92,86.78
193,104,307.7249,96.9437,-97.8868,290.4253,108.2360,108.9792,1.9167,0.606,88.03,86.89
216,116,343.9102,108.3433,-105.4031,326.0231,107.5694,107.9414,1.9167,0.695,89.40,88.29
239,128,379.1453,119.4435,-117.6890,359.0880,107.8311,108.2468,1.9167,0.783,88.45,87.29
260,140,414.6221,130.6199,-128.5386,392.8651,107.8291,108.1977,1.7500,0.872,88.94,87.84
283,153,450.0513,141.7813,-143.4450,425.2661,108.3727,108.8539,1.7692,0.960,87.69,86.54
304,165,482.7157,152.0717,-147.6284,458.2505,107.6099,107.8582,1.7500,1.050,89.91,88.87
326,177,518.6095,163.3794,-160.7803,491.7285,107.8759,108.1643,1.8333,1.142,92.11,91.02
347,189,551.5927,173.7702,-175.0527,521.7635,108.3292,108.6935,1.7500,1.233,91.18,90.04
367,201,583.7774,183.9095,-182.2660,553.2703,108.0288,108.3091,1.6667,1.326,92.32,91.34
388,213,617.5007,194.5334,-189.5934,586.3408,107.7256,107.9312,1.7500,1.420,94.34,93.29
411,225,653.1343,205.7592,-206.6604,618.2609,108.2992,108.5918,1.9167,1.515,94.71,93.56
432,237,685.7939,216.0481,-210.8437,651.2453,107.7658,107.9541,1.7500,1.613,98.63,97.57
454,249,720.1435,226.8694,-222.6341,683.5359,107.8752,108.0702,1.8333,1.709,96.02,94.87
476,261,755.8700,238.1244,-233.1655,717.6779,107.8406,108.0199,1.8333,1.808,98.32,97.25
499,273,790.3987,249.0021,-248.7995,748.9003,108.2260,108.3468,1.9167,1.906,98.35,97.17
520,285,824.6094,259.7796,-253.0952,783.4746,107.7581,107.9744,1.7500,2.005,99.16,98.04
543,297,860.4700,271.0769,-271.0952,815.3310,108.2526,108.0535,1.9167,2.104,98.82,97.65
564,309,895.3082,282.0521,-276.2454,850.2948,107.8648,108.0801,1.7500,2.203,98.89,97.76
587,321,930.5491,293.1542,-288.5313,883.3597,107.9602,108.0196,1.9167,2.299,96.43,95.25
608,333,965.8197,304.2656,-297.2203,917.6177,107.8239,107.6312,1.7500,2.392,93.16,92.03
631,346,1001.4528,315.4912,-314.2873,949.5378,108.1945,108.5214,1.7692,2.484,91.99,90.85
652,358,1034.1136,325.7805,-318.4707,982.5222,107.8441,107.8515,1.7500,2.578,93.49,92.42
674,370,1070.0137,337.0902,-331.6226,1016.0003,107.9651,108.0511,1.8333,2.673,95.30,94.20
697,382,1105.9083,348.3982,-344.7484,1049.4765,108.0770,107.8741,1.9167,2.770,96.64,95.48
720,394,1142.0879,359.7960,-352.2646,1085.0743,107.8814,108.0801,1.9167,2.867,97.51,96.32
743,406,1177.3290,370.8981,-364.5505,1118.1392,107.9563,108.0196,1.9167,2.962,94.82,93.67
764,418,1212.8057,382.0745,-375.4002,1151.9163,107.9520,107.6373,1.7500,3.057,94.47,93.41
787,431,1248.2307,393.2346,-390.3065,1184.3173,108.1445,108.2461,1.7692,3.151,94.29,93.07
808,443,1280.8932,403.5243,-394.4899,1217.3017,107.8628,107.9905,1.7500,3.248,96.89,95.77
831,455,1316.7558,414.8223,-412.4899,1249.1581,108.1831,108.0689,1.9167,3.345,97.38,96.19
852,467,1351.5943,425.7975,-417.6401,1284.1219,107.9280,108.0951,1.7500,3.440,95.30,94.24
875,479,1387.4871,437.1050,-430.7659,1317.5981,108.0182,108.1725,1.9167,3.536,95.44,94.25
898,491,1425.4098,449.0519,-442.2495,1353.7413,108.0078,108.1965,1.9167,3.630,94.31,93.16
920,503,1459.5856,459.8184,-451.4194,1386.6957,107.9502,107.6244,1.8333,3.724,93.89,92.76
943,515,1495.7191,471.2017,-463.7837,1420.6719,107.9996,108.2964,1.9167,3.818,94.39,93.21
966,527,1531.6600,482.5243,-472.0614,1455.7698,107.8884,107.4216,1.9167,3.913,94.85,93.67
988,539,1566.6440,493.5454,-485.1235,1488.3129,107.9775,108.1277,1.8333,4.007,93.37,92.24
1010,551,1602.1108,504.7187,-495.9470,1522.0882,107.9728,107.9903,1.8333,4.100,93.40,92.28
1033,563,1636.9248,515.6863,-509.5798,1554.2627,108.0792,108.4466,1.9167,4.193,92.73,91.62
1054,575,1670.6398,526.3076,-516.9072,1587.3333,107.9662,107.6244,1.7500,4.283,90.68,89.61
1074,587,1702.8376,536.4510,-524.1205,1618.8400,107.8700,107.9102,1.6667,4.376,92.25,91.28
1095,599,1735.8087,546.8380,-538.3929,1648.8750,108.0142,108.0930,1.7500,4.471,95.25,94.18
1118,611,1773.7314,558.7849,-549.8765,1685.0181,108.0059,107.8881,1.9167,4.565,93.73,92.57
1141,623,1808.9753,569.8879,-562.1624,1718.0830,108.0522,108.3449,1.9167,4.660,95.21,94.05
1163,635,1844.0407,580.9347,-571.4107,1751.9488,107.9994,108.0754,1.8333,4.754,93.85,92.68
1186,647,1879.9810,592.2571,-579.6884,1787.0466,107.9088,107.8303,1.9167,4.848,94.07,92.94
1208,659,1914.9656,603.2784,-592.7504,1819.5898,107.9812,107.6756,1.8333,4.941,93.23,92.10
1230,671,1950.4324,614.4517,-603.5739,1853.3650,107.9774,108.1965,1.8333,5.033,92.31,91.21
1253,683,1985.2461,625.4192,-617.2067,1885.5396,108.0650,107.8324,1.9167,5.126,92.53,91.38
1274,695,2018.9613,636.0406,-624.5341,1918.6101,107.9717,108.0601,1.7500,5.217,90.90,89.84
1294,707,2051.1585,646.1838,-631.7474,1950.1169,107.8918,107.6275,1.6667,5.309,92.21,91.15
1317,720,2087.4556,657.6186,-648.4267,1982.8655,108.0513,108.1450,1.7692,5.401,91.67,90.53
1340,732,2124.4991,669.2885,-658.1374,2018.6610,108.0012,108.1131,1.9167,5.496,94.94,93.79
1363,744,2160.3941,680.5966,-671.2632,2052.1372,108.0579,108.1889,1.9167,5.590,94.71,93.54
1384,756,2193.9507,691.1681,-675.5250,2086.0329,107.8893,107.8913,1.7500,5.683,92.43,91.31
1405,768,2226.9220,701.5552,-689.7974,2116.0679,108.0014,108.0581,1.7500,5.777,94.09,92.94
1426,780,2260.2165,712.0440,-698.9149,2148.1129,107.9701,107.9636,1.7500,5.871,94.37,93.29
1449,792,2296.7353,723.5487,-712.8692,2181.9769,108.0406,107.9449,1.9167,5.965,93.81,92.69
1472,804,2332.9301,734.9513,-720.3707,2217.5964,107.9449,107.8913,1.9167,6.059,93.85,92.70
1494,816,2367.2829,745.7735,-732.1611,2249.8870,107.9756,108.2461,1.8333,6.151,92.25,91.15
1515,828,2399.6139,755.9589,-746.8429,2279.1082,108.0937,108.3017,1.7500,6.246,94.82,93.77
