generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,25,98.5532,23.0269,-87.0714,40.5795,156.1577,NaN,2.4000,0.106,105.75,64.15
82,37,144.7881,33.8296,-132.0714,52.7038,158.9686,164.9209,1.8333,0.170,64.25,63.09
102,49,187.7967,43.8785,-174.0714,63.0961,160.6081,165.4895,1.6667,0.235,64.96,63.89
123,61,233.2176,54.4911,-219.0714,71.7564,162.2721,166.7109,1.7500,0.300,65.45,64.35
144,73,277.4427,64.8242,-261.0714,85.6128,162.1875,165.4895,1.7500,0.373,72.20,71.11
165,85,322.9819,75.4644,-306.0714,94.2731,163.1669,166.2242,1.7500,0.445,71.94,70.81
186,97,367.1965,85.7951,-348.0714,108.1295,162.9952,165.4895,1.7500,0.519,74.30,73.19
207,109,412.7907,96.4481,-393.0714,116.7897,163.6724,166.0148,1.7500,0.591,72.32,71.18
229,121,456.9588,106.7680,-437.3214,122.6663,164.5251,166.8099,1.8333,0.664,73.19,72.05
248,133,499.6918,116.7525,-476.3214,141.7189,163.6128,165.4348,1.5833,0.738,73.79,72.69
270,145,546.8153,127.7629,-522.0714,153.1628,163.8149,165.4895,1.8333,0.814,75.48,74.33
291,157,591.9214,138.3018,-566.9286,160.3384,164.3581,165.9868,1.7500,0.890,76.78,75.65
313,169,636.6736,148.7582,-611.3214,167.6996,164.7974,166.3700,1.8333,0.969,78.35,77.16
332,181,679.3540,158.7304,-650.3214,186.7522,164.1092,165.4517,1.5833,1.048,79.21,78.17
352,193,722.1214,168.7229,-692.1071,196.1548,164.2995,165.5797,1.6667,1.129,80.59,79.48
374,205,769.1976,179.7223,-737.3214,209.2689,164.2705,165.4568,1.8333,1.209,80.21,79.04
394,217,812.4433,189.8266,-779.3214,219.6612,164.3680,165.4958,1.6667,1.289,80.39,79.27
414,229,855.6911,199.9314,-821.3214,230.0535,164.4557,165.5304,1.6667,1.369,80.10,78.99
436,241,902.2943,210.8202,-866.3214,242.1778,164.4797,165.4951,1.8333,1.450,80.76,79.58
456,253,945.5444,220.9255,-908.3214,252.5701,164.5539,165.5261,1.6667,1.531,80.49,79.36
478,265,992.1482,231.8145,-953.3214,264.6945,164.5712,165.5261,1.8333,1.612,81.28,80.09
498,277,1035.4000,241.9202,-995.3214,275.0868,164.6351,165.5261,1.6667,1.693,81.38,80.26
518,289,1077.9895,251.8712,-1035.6786,288.9432,164.4933,165.1063,1.6667,1.772,79.01,77.90
539,301,1122.9371,262.3732,-1080.8929,294.0156,164.8607,165.7372,1.7500,1.853,80.44,79.31
560,313,1167.8435,272.8655,-1122.6786,311.4599,164.5700,165.1063,1.7500,1.931,78.27,77.15
579,325,1206.6252,281.9268,-1163.3214,309.7278,165.1628,166.1103,1.5833,2.009,77.74,76.71
596,337,1245.2104,290.9422,-1197.6786,330.5124,164.6431,165.1244,1.4167,2.087,78.21,77.19
617,350,1287.3468,300.7873,-1241.3214,330.5124,165.1575,165.5055,1.6154,2.164,76.78,75.63
636,362,1330.4984,310.8696,-1281.0714,348.8845,164.8312,165.5639,1.5833,2.242,78.72,77.64
658,374,1377.1030,321.7588,-1326.0714,361.0089,164.8343,165.5055,1.8333,2.320,77.74,76.52
678,386,1420.3594,331.8656,-1368.0714,371.4012,164.8729,165.2407,1.6667,2.399,78.43,77.31
699,398,1466.0640,342.5444,-1413.0714,380.0614,165.0051,165.1646,1.7500,2.477,78.50,77.35
720,410,1510.2210,352.8617,-1455.0714,393.9178,164.9096,165.5639,1.7500,2.557,80.27,79.15
741,422,1555.9275,363.5409,-1500.0714,402.5781,165.0331,165.6683,1.7500,2.636,78.36,77.22
762,434,1600.0833,373.8579,-1542.0714,416.4345,164.9422,165.5639,1.7500,2.717,81.40,80.29
783,446,1645.7914,384.5375,-1587.0714,425.0948,165.0580,165.7306,1.7500,2.796,79.21,78.03
805,458,1690.0701,394.8832,-1631.3214,430.9714,165.2523,166.0691,1.8333,2.876,79.57,78.40
824,470,1732.6562,404.8334,-1670.3214,450.0239,164.9713,165.5055,1.5833,2.956,80.66,79.58
846,482,1779.8090,415.8506,-1716.0714,461.4678,164.9974,165.5000,1.8333,3.036,79.59,78.41
867,494,1823.1981,425.9884,-1760.3214,463.8803,165.2842,166.1352,1.7500,3.115,79.37,78.21
884,506,1861.7428,434.9944,-1794.6786,484.6649,164.9341,165.3087,1.4167,3.193,77.94,76.92
905,519,1903.9193,444.8489,-1838.3214,484.6649,165.2755,166.2961,1.6154,3.271,77.14,76.02
924,531,1947.0487,454.9260,-1878.0714,503.0370,165.0499,165.3077,1.5833,3.350,79.32,78.28
946,543,1993.6533,465.8151,-1923.0714,515.1614,165.0469,165.7212,1.8333,3.427,77.35,76.19
966,555,2036.9127,475.9227,-1965.0714,525.5537,165.0693,164.9335,1.6667,3.507,79.38,78.28
987,567,2082.6272,486.6038,-2010.0714,534.2140,165.1581,165.9237,1.7500,3.584,77.61,76.47
1008,579,2126.7769,496.9193,-2052.0714,548.0704,165.0871,164.9790,1.7500,3.663,78.64,77.49
1029,591,2172.4924,507.6007,-2097.0714,556.7306,165.1718,165.7099,1.7500,3.739,76.19,75.05
1050,603,2216.6414,517.9161,-2139.0714,570.5870,165.1034,165.5448,1.7500,3.817,77.74,76.63
1071,615,2261.8403,528.4768,-2183.9286,577.7627,165.2198,165.8054,1.7500,3.894,77.41,76.25
