generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,26,102.2350,23.9087,48.0714,-91.0564,-63.8858,NaN,2.3077,0.098,98.03,58.52
79,38,147.2677,34.4400,60.6786,-134.7907,-66.9725,-73.9195,1.5833,0.160,62.47,61.45
101,50,191.2799,44.7327,72.0714,-177.6589,-68.8551,-74.5105,1.8333,0.227,66.35,65.22
121,62,236.6515,55.3433,84.6786,-221.3932,-69.8279,-74.3118,1.6667,0.295,67.91,66.86
143,74,280.8487,65.6793,96.0714,-264.2615,-70.6621,-74.5105,1.8333,0.364,69.20,68.05
163,86,326.3006,76.3087,108.6786,-307.9957,-71.1162,-74.3910,1.6667,0.434,70.17,69.15
185,98,370.5617,86.6596,120.0714,-350.8640,-71.5947,-74.5105,1.8333,0.505,70.51,69.42
205,110,416.0435,97.2960,132.6786,-394.5983,-71.8490,-74.4251,1.6667,0.575,70.52,69.47
225,122,459.4575,107.4488,143.3214,-436.7861,-72.2267,-74.5969,1.6667,0.645,70.12,69.11
247,134,505.8303,118.2936,156.6786,-481.2008,-72.3216,-74.4440,1.8333,0.715,70.10,68.97
267,146,549.2643,128.4510,167.3214,-523.3886,-72.6003,-74.5796,1.6667,0.785,69.79,68.76
289,158,595.6412,139.2967,180.6786,-567.8034,-72.6518,-74.4561,1.8333,0.856,71.13,69.99
309,170,639.0880,149.4572,191.3214,-609.9912,-72.8688,-74.5680,1.6667,0.926,69.88,68.81
331,182,684.5960,160.0997,203.9286,-653.7255,-72.9387,-74.5175,1.8333,0.995,69.21,68.16
351,194,728.9222,170.4659,215.3214,-696.5937,-73.0712,-74.5598,1.6667,1.066,70.38,69.38
373,206,774.4327,181.1089,227.9286,-740.3280,-73.1210,-74.5165,1.8333,1.135,69.34,68.26
393,218,818.7635,191.4762,239.3214,-783.1963,-73.2291,-74.5536,1.6667,1.205,69.85,68.85
415,230,862.8951,201.7968,252.0714,-825.4459,-73.2280,-74.4757,1.8333,1.275,69.57,68.53
435,242,908.6099,212.4876,263.3214,-869.7988,-73.3559,-74.5488,1.6667,1.345,70.68,69.66
457,254,952.7413,222.8082,276.0714,-912.0485,-73.3490,-74.4793,1.8333,1.417,71.39,70.29
477,266,998.2543,233.4519,288.6786,-955.7828,-73.3750,-74.4793,1.6667,1.487,70.86,69.85
499,278,1042.5910,243.8205,300.0714,-998.6510,-73.4491,-74.4793,1.8333,1.559,71.79,70.68
