generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
16942,9696,36233.8079,8457.8231,-9692.1071,34913.3811,105.5199,105.5207,1.8333,74.335,99.24,97.96
16962,9708,36277.5819,8468.0409,-9702.8929,34955.8164,105.5184,105.5207,1.6667,74.429,93.84,92.66
16984,9720,36323.6745,8478.8000,-9716.1071,34999.9837,105.5198,105.5207,1.8333,74.523,94.12,92.85
17004,9732,36367.4484,8489.0179,-9726.8929,35042.4189,105.5183,105.5207,1.6667,74.612,89.03,87.80
17025,9744,36411.5792,8499.3190,-9735.8929,35085.7202,105.5137,105.5207,1.7500,74.702,90.13,88.90
17046,9756,36457.3150,8509.9949,-9750.8929,35129.0215,105.5182,105.5207,1.7500,74.791,88.47,87.25
17067,9768,36501.4457,8520.2960,-9759.8929,35172.3227,105.5136,105.5207,1.7500,74.883,92.05,90.83
17088,9780,36547.1815,8530.9718,-9774.8929,35215.6240,105.5181,105.5207,1.7500,74.976,92.91,91.65
17109,9792,36591.3123,8541.2730,-9783.8929,35258.9253,105.5136,105.5207,1.7500,75.072,96.66,95.41
17130,9804,36636.5385,8551.8298,-9800.1071,35301.3605,105.5203,105.5207,1.7500,75.167,94.79,93.54
17151,9816,36681.1789,8562.2499,-9807.8929,35345.5278,105.5135,105.5207,1.7500,75.261,94.26,93.02
17172,9828,36726.4051,8572.8068,-9824.1071,35387.9631,105.5202,105.5207,1.7500,75.353,91.38,90.13
17193,9840,36771.0454,8583.2269,-9831.8929,35432.1304,105.5135,105.5207,1.7500,75.445,92.64,91.39
17214,9852,36816.2717,8593.7838,-9848.1071,35474.5656,105.5201,105.5207,1.7500,75.538,92.77,91.52
17235,9864,36860.9120,8604.2039,-9855.8929,35518.7329,105.5134,105.5207,1.7500,75.632,94.10,92.86
17256,9876,36906.1382,8614.7607,-9872.1071,35561.1681,105.5200,105.5207,1.7500,75.726,93.57,92.31
17277,9888,36950.7785,8625.1809,-9879.8929,35605.3354,105.5134,105.5207,1.7500,75.818,92.75,91.52
17298,9900,36996.0048,8635.7377,-9896.1071,35647.7707,105.5200,105.5207,1.7500,75.910,91.23,90.01
17318,9912,37039.7787,8645.9556,-9906.8929,35690.2059,105.5185,105.5207,1.6667,75.998,88.04,86.85
17340,9924,37085.8713,8656.7147,-9920.1071,35734.3732,105.5199,105.5207,1.8333,76.089,90.99,89.70
17360,9936,37129.6452,8666.9325,-9930.8929,35776.8085,105.5184,105.5207,1.6667,76.179,90.36,89.17
17381,9948,37173.7760,8677.2337,-9939.8929,35820.1097,105.5139,105.2626,1.7500,76.272,93.41,92.19
17402,9960,37219.5118,8687.9095,-9954.8929,35863.4110,105.5183,105.5207,1.7500,76.366,93.60,92.34
17423,9972,37263.6426,8698.2107,-9963.8929,35906.7123,105.5139,105.5207,1.7500,76.465,99.16,97.95
17444,9984,37309.3784,8708.8865,-9978.8929,35950.0135,105.5183,105.5207,1.7500,76.565,99.59,98.31
17465,9996,37353.5091,8719.1876,-9987.8929,35993.3148,105.5138,105.5207,1.7500,76.667,101.90,100.67
17486,10008,37398.7354,8729.7445,-10004.1071,36035.7501,105.5204,105.6150,1.7500,76.769,102.08,100.82
17507,10020,37443.3757,8740.1646,-10011.8929,36079.9174,105.5137,105.5207,1.7500,76.873,103.71,102.45
17528,10032,37488.6019,8750.7215,-10028.1071,36122.3526,105.5203,105.5207,1.7500,76.974,101.74,100.46
17549,10044,37533.2422,8761.1416,-10035.8929,36166.5199,105.5137,105.5207,1.7500,77.077,103.19,101.97
17570,10056,37578.4685,8771.6984,-10052.1071,36208.9551,105.5202,105.5207,1.7500,77.181,103.49,102.23
17591,10068,37623.1088,8782.1185,-10059.8929,36253.1224,105.5136,105.5207,1.7500,77.284,103.30,102.02
17612,10080,37668.3350,8792.6754,-10076.1071,36295.5577,105.5201,105.5207,1.7500,77.388,103.61,102.30
17633,10092,37712.9754,8803.0955,-10083.8929,36339.7250,105.5136,105.5207,1.7500,77.491,103.49,102.24
17654,10104,37758.2016,8813.6524,-10100.1071,36382.1602,105.5201,105.5207,1.7500,77.594,102.73,101.48
17674,10116,37801.9755,8823.8702,-10110.8929,36424.5955,105.5186,105.7464,1.6667,77.693,98.96,97.75
17696,10128,37848.0681,8834.6294,-10124.1071,36468.7628,105.5200,105.5207,1.8333,77.792,98.70,97.44
17716,10140,37891.8421,8844.8472,-10134.8929,36511.1980,105.5185,105.5207,1.6667,77.885,93.68,92.50
17738,10152,37937.9347,8855.6063,-10148.1071,36555.3653,105.5199,105.5207,1.8333,77.979,93.09,91.83
17758,10164,37981.7086,8865.8242,-10158.8929,36597.8006,105.5185,105.5207,1.6667,78.068,89.77,88.55
17779,10176,38025.8394,8876.1253,-10167.8929,36641.1018,105.5141,105.5207,1.7500,78.159,90.93,89.66
17800,10188,38071.5752,8886.8012,-10182.8929,36684.4031,105.5184,105.5207,1.7500,78.247,88.07,86.85
17821,10200,38115.7059,8897.1023,-10191.8929,36727.7044,105.5140,105.5207,1.7500,78.337,89.79,88.57
17842,10212,38161.4417,8907.7781,-10206.8929,36771.0056,105.5183,105.5207,1.7500,78.424,87.27,86.01
17863,10224,38205.5725,8918.0793,-10215.8929,36814.3069,105.5140,105.5207,1.7500,78.514,89.27,88.04
17884,10236,38250.7987,8928.6361,-10232.1071,36856.7421,105.5204,105.5207,1.7500,78.602,88.44,87.21
17905,10248,38295.4390,8939.0562,-10239.8929,36900.9094,105.5139,105.5207,1.7500,78.693,90.63,89.43
17926,10260,38340.6653,8949.6131,-10256.1071,36943.3447,105.5203,105.5207,1.7500,78.782,88.94,87.71
17947,10272,38385.3056,8960.0332,-10263.8929,36987.5120,105.5138,105.5207,1.7500,78.871,89.79,88.56
17968,10284,38430.5319,8970.5901,-10280.1071,37029.9472,105.5202,105.5207,1.7500,78.960,89.00,87.79
17989,10296,38475.1722,8981.0102,-10287.8929,37074.1145,105.5138,105.5207,1.7500,79.050,89.57,88.40
18010,10308,38520.3984,8991.5670,-10304.1071,37116.5498,105.5201,105.5207,1.7500,79.139,89.21,88.01
18031,10320,38565.0387,9001.9872,-10311.8929,37160.7171,105.5137,105.5207,1.7500,79.228,89.26,88.09
18052,10332,38610.2650,9012.5440,-10328.1071,37203.1523,105.5201,105.5207,1.7500,79.318,89.73,88.57
18072,10344,38654.0389,9022.7619,-10338.8929,37245.5876,105.5186,105.5207,1.6667,79.406,88.05,86.89
18094,10356,38700.1315,9033.5210,-10352.1071,37289.7548,105.5200,105.5207,1.8333,79.496,89.56,88.30
18114,10368,38743.9054,9043.7389,-10362.8929,37332.1901,105.5186,105.5207,1.6667,79.584,88.62,87.44
18135,10380,38788.0362,9054.0400,-10371.8929,37375.4914,105.5143,105.2626,1.7500,79.675,90.18,89.01
18156,10392,38833.7720,9064.7158,-10386.8929,37418.7926,105.5185,105.5207,1.7500,79.763,88.38,87.13
18177,10404,38877.9027,9075.0170,-10395.8929,37462.0939,105.5142,105.5207,1.7500,79.853,90.06,88.83
18198,10416,38923.6386,9085.6928,-10410.8929,37505.3952,105.5184,105.5207,1.7500,79.941,87.91,86.67
18219,10428,38967.7693,9095.9939,-10419.8929,37548.6964,105.5142,105.5207,1.7500,80.031,89.72,88.49
18240,10440,39012.9956,9106.5508,-10436.1071,37591.1317,105.5204,105.6150,1.7500,80.118,87.44,86.25
18261,10452,39057.6359,9116.9709,-10443.8929,37635.2990,105.5141,105.5207,1.7500,80.207,88.69,87.50
18282,10464,39102.8621,9127.5278,-10460.1071,37677.7342,105.5204,105.5207,1.7500,80.295,87.83,86.60
18303,10476,39147.5024,9137.9479,-10467.8929,37721.9015,105.5140,105.5207,1.7500,80.385,89.93,88.72
18324,10488,39192.7287,9148.5047,-10484.1071,37764.3368,105.5203,105.5207,1.7500,80.473,88.81,87.60
18345,10500,39237.3690,9158.9248,-10491.8929,37808.5041,105.5140,105.5207,1.7500,80.563,90.13,88.93
18366,10512,39282.5952,9169.4817,-10508.1071,37850.9393,105.5202,105.5207,1.7500,80.653,89.75,88.50
18387,10524,39327.2355,9179.9018,-10515.8929,37895.1066,105.5139,105.5207,1.7500,80.743,89.62,88.41
18408,10536,39372.4618,9190.4587,-10532.1071,37937.5419,105.5202,105.5207,1.7500,80.833,90.19,88.95
18428,10548,39416.2357,9200.6765,-10542.8929,37979.9771,105.5188,105.7464,1.6667,80.922,88.87,87.67
18450,10560,39462.3283,9211.4357,-10556.1071,38024.1444,105.5201,105.5207,1.8333,81.010,88.61,87.36
18470,10572,39506.1023,9221.6535,-10566.8929,38066.5796,105.5187,105.5207,1.6667,81.099,88.31,87.09
18492,10584,39552.1949,9232.4126,-10580.1071,38110.7469,105.5200,105.5207,1.8333,81.189,90.23,88.98
18512,10596,39595.9688,9242.6305,-10590.8929,38153.1822,105.5186,105.5207,1.6667,81.278,88.68,87.53
